Z	S0.11	S0.08	S0.04
899	0	0	0
900.5	7	70	1244
901	59	410	2382
901.5	226	1053	3621
902	548	2003	4935
902.5	1031	3101	6327
903	1674	4302	7796
903.5	2454	5573	9347
904	3362	6910	10987
904.5	4393	8316	12712
905	5523	9797	14523
905.5	6752	11358	16443
906	8066	12997	18527
906.5	9451	14720	20753
907	10904	16533	23123
907.5	12430	18445	25657
908	14038	20511	28364
908.5	15726	22738	31211
909	17493	25096	34197
909.5	19344	27578	37320
910	21334	30187	40604
910.5	23480	32901	44098
911	25740	35714	47796
911.5	28094	38628	51724
912	30536	41631	55912
912.5	33049	44723	60306
913	35618	47899	64870
913.5	38239	51160	69562
914	40907	54498	74371
914.5	43614	57895	79270
915	46344	61328	84245
